,name,location,about,tags,overallRating,overallRatingCnt
72,Kuan Yin Thong Hood Cho Temple,"178 Waterloo Street Kwan im Temple, Singapore 187964 Singapore",,Religious Sites,4.0,183
73,Singapore River,,,Bodies of Water,4.5,"2,151"
74,Kranji War Memorial,"9 Woodlands Road, Singapore 738656 Singapore","Location Information The Commonwealth War Graves Commission's Kranji War Cemetery is 22 kilometres north of the city of Singapore, on the north side of Singapore Island overlooking the Straits of Johore. It is located just to the West of the Singapore-Johore road (Bukit Timah Expressway) on Woodlands Road, just to the south of the crossroads with Turf Club Avenue and Kranji Road. There is a short approach road from the main road. The Cemetery is known locally as Kranji Memorial and one must be sure of the address before boarding a taxi as most taxi drivers do not know the Cemetery. There are also bus stops on the main road facing the Cemetery. The Kranji MRT (train) terminal is a short distance from the Cemetery, approximately 10 to 15 minutes away by foot. A previous visitor has advised us that a small map of the route can be obtained from the MRT ticket office. Visiting Information Kranji War Cemetery is open every day 07:00-18:30. The cemetery is constructed on a hill with the means of access being via three flights of steps, rising over four metres from the road level, which makes wheelchair access to this site impossible.",Cemeteries,4.5,"1,001"
75,Emerald Hill,,,Historic Sites • Neighborhoods,4.5,321
76,DFS Singapore Changi Airport,"Changi Airport Terminal 1 (Towards C and D Gates), Singapore 918142 Singapore","DFS Airport is the destination for travelers seeking world-class brands and personalized services all in one place. Explore ready-to-go gifts and first-class essentials while enjoying personal shopping assistance at your convenience. From one destination to the next, we seek to inspire travelers everywhere with the world's finest selection of exceptional products and unparalleled service at every point along their journey. Discover value and style when you shop before departure and upon arrival at any of our DFS Airport stores.",Airport Shops,4.0,187
77,Lee Kong Chian Natural History Museum,"2 Conservatory Drive National University of Singapore, Singapore 117377 Singapore","The Lee Kong Chian Natural History Museum (LKCNHM) is Singapore’s first and only natural history museum. The museum, which traces its roots to the original Raffles Museum of 1878, is among the oldest such institution in the region. Established through philanthropic gifts totalling $56 million, LKCNHM aims to be a leader in Southeast Asian biodiversity and conservation research, education and outreach. The exhibition gallery is divided into two levels: The main biodiversity gallery, comprising 15 zones, tracks the history of life on earth, among them green plants, fungi, molluscs, arthropods, birds and mammals. The mezzanine floor, home to the heritage zone, presents the history of the Raffles Museum and LKCNHM. This gallery holds the “Cabinets of Curiosities” where visitors can examine Singapore’s history of biodiversity exploration; the people who helped build this; and the biological treasures accumulated over 137 years. A zone titled “Singapore Today” reveals the geology of the island and the important conservation efforts by national agencies.",Natural History Museums,4.5,144
78,Plaza Singapura,"68 Orchard Road Plaza Singapura, Singapore 238839 Singapore","Some key stores in Plaza Singapura include John Little, Yamaha and Spotlight, and its multiple dining options ensure that you’ll be well-fed. You can also satisfy your entertainment needs with a large Golden Village cinema on the top floor.",Shopping Malls,4.0,325
79,Sri Veeramakaliamman Temple,"141 Serangoon Road, Singapore 218042 Singapore","Built in 1855 by Tamil labourers, the temple has a South Indian architectural style. The gopuram or tower, a common element in South Indian temple architecture, was built at a height so that it can be seen from a distance.",Religious Sites,4.0,547
80,Singapore Visitor Centre @orchardgateway,"216 Orchard Road Orchard Gateway @ Emerald, Singapore 238898 Singapore","The Singapore Visitor Centre @orchardgateway is a one-stop information centre for visitors to obtain destination information and tourist-friendly services such as peronsalised itinerary planning, and to enjoy travelling showcases that depict stories of Singapore. Additionally, as a Living Lab, we welcome local businesses keen to testbed new tourism products directly with visitors before bringing to market.",Visitor Centers,4.5,660
81,Faber Peak,"109 Mount Faber Road Faber Peak Faber Peak, Singapore 099203 Singapore","The city’s unique hilltop destination filled with natural serenity, spectacular views, delectable dining, cosy event venues and its own cable car network. Away from the hustle and bustle of the city, Faber Peak Singapore (formerly The Jewel Box) features a vibrant cluster of dining and entertainment, cable car joyrides and unique experiences enjoyed by local residents and international travellers at the peak of Mount Faber. Located 100 metres above the sea, this buzzing peak invites you to get HIGH ON HAPPINESS as you take in the relaxing views of the Sentosa-HarbourFront skyline, green vistas and the picturesque cable car line. Our passionate service ambassadors are on hand to create happy moments for all guests of Faber Peak Singapore. Special Mention: - Cable Car 'Joyride' - Restaurants-with-a-view: Spuds &amp; Aprons and Faber Bistro - Programming activities - Event spaces",Hiking Trails • Scenic Walking Areas,4.0,96
82,Sunflower Garden,,,Gardens,4.0,110
83,City Square Mall,"180 Kitchener Road City Square Mall, Singapore 208539 Singapore","City Square Mall, located at the junction of Serangoon and Kitchener Roads, sits on the site of Singapore's historic New World Park. Having close proximity to Little India, one of the Top 5 must-see tourist spots, with direct connection to Farrer Park MRT station, it hopes to attract both local and tourist shoppers. With over 700,000 sq ft of gross retail space, spread over five retail levels, two basements and four levels of lifestyle services, it is home to about 200 tenants that caters to the lifestyle needs of today's discerning mid-income families. Offering a wide array of value-for-money merchandise and services, exciting promotional activities, street fare as well as international cuisine, City Square Mall is envisioned as a miniature 'town-centre' which provides the perfect setting for the community to meet, play and shop while acquiring an eco-learning experience.",Shopping Malls,4.0,329
84,Labrador Nature Reserve,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187 Singapore",Explore the rocky cliff-side vegetation and enjoy the panoramic views of the sea at Labrador Nature Reserve. This park is an oasis of calm and a tranquil getaway from the hustle and bustle of the city.,Nature &amp; Wildlife Areas,4.0,207
85,Kusu Island,"Kusu Island, Singapore 000704 Singapore","In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.",Islands,4.0,110
86,Changi Beach,,,Historic Sites • Beaches,4.0,158
87,Hort Park,"33 Hyderabad Road, Singapore 119578 Singapore","Learning and education are two of Hort Park’s main aims, and activities and events are held all year round to generate interest and enhance awareness of the area.",Parks,4.5,139
88,Changi Chapel and Museum,"1000 Upper Changi Road North, Singapore 507707 Singapore","The newly revamped Changi Chapel and Museum (CCM) features new content and artefacts presented in an intimate and engaging format to tell the story of the prisoners of war and civilians interned in Changi prison camp during the Japanese Occupation. As part of the revamp, the National Museum of Singapore which manages Changi Museum has been collecting stories and personal objects from families of former internees that emphasise their personal experiences. The museum’s narrative is centred on remembrance and reflection, encouraging visitors to contemplate both the hardships that the internees underwent, as well as their courage and resilience in the face of difficulties.",History Museums,4.5,"2,059"
89,Marina Square,"6 Raffles Boulevard Marina Square, Singapore 039594 Singapore","Marina Square Shopping Mall is located in the heart of the shopping, dining, entertainment and cultural hub of the vibrant Marina Centre. Flanked by 3 world class hotels - Mandarin Oriental Singapore, PARKROYAL COLLECTION Marina Bay and Pan Pacific Singapore, Marina Square is a mere stone's throw away from the famous Esplanade - Theatres on the Bay, the Singapore Flyer and in close proximity to the Gardens by the Bay. It is also accessible by the City Hall, Esplanade and Promenade MRT stations. As Singapore’s Shopping Haven on the Bay, Marina Square brings families, colleagues and friends together. The mall offers 5 exciting levels of experiential retail experiences, with over 200 specialty shops comprising fashion, F&amp;B, edutainment, children and lifestyle concepts. The mall bustles with a calendar of promotions and hosts a variety of weekend activities and fairs at its 4,500 sq.ft atrium.",Shopping Malls,4.0,272
